username,video_id,video_url,like_count,comment_count,share_count,save_count,description,scraped_at
aliphildan,7656726016391433490,https://www.tiktok.com/@aliphildan/video/7656726016391433490,0,0,0,0,,2026-09-02T11:08:46.439131
aliphildan,7656705634603355413,https://www.tiktok.com/@aliphildan/video/7656705634603355413,4067,62,36,95,When ya when yaa…,2026-09-02T11:09:41.562381
aliphildan,7656655161527389448,https://www.tiktok.com/@aliphildan/video/7656655161527389448,8173,77,135,106,Replying to @shi'ac🧚🏻‍♀️ oke waktunya go public juga sama dr. Sashi🥰✨,2026-09-02T11:10:25.373821
aliphildan,7655583525629938952,https://www.tiktok.com/@aliphildan/video/7655583525629938952,71.9K,446,2255,1261,"Ngerti gak elooo!??✨ #SaLiMan @Ayman Alatas @Ikhsanqthii, MD #JagaIrama #fakesituation⚠ #fakebody",2026-09-02T11:11:26.355741
aliphildan,7655300592847441170,https://www.tiktok.com/@aliphildan/video/7655300592847441170,7450,112,115,140,Disituulaahhhh☺️ 감사합니다 🙇‍♂️ @Daehoon 대훈,2026-09-02T11:12:35.873356
aliphildan,7654822706994515218,https://www.tiktok.com/@aliphildan/video/7654822706994515218,23.6K,398,1817,267,Jalan2 dengan betis rodaku🏃🏻✨ @Ganta 🐮 #fakesituation⚠️ #fakebody,2026-09-02T11:13:38.841254
aliphildan,7654078761075232018,https://www.tiktok.com/@aliphildan/video/7654078761075232018,0,0,0,0,,2026-09-02T11:14:33.853023
aliphildan,7653741400764239112,https://www.tiktok.com/@aliphildan/video/7653741400764239112,70.1K,1336,3537,1248,"Part yg diemnya candu bgt jujur🥰 #SaLiMan #JagaIrama @Ayman Alatas @Ikhsanqthii, MD",2026-09-02T11:15:08.610298
aliphildan,7653444758949465352,https://www.tiktok.com/@aliphildan/video/7653444758949465352,40.7K,268,5921,649,Perkara ginian doang mah emg kerjaan sehari2 kitee😉 @drh. Ricky Halim dan Sashi #fakesituation⚠️ #fakebody,2026-09-02T11:16:10.661679
aliphildan,7653426353068379410,https://www.tiktok.com/@aliphildan/video/7653426353068379410,20.2K,53,182,147,Gini kan trendnya😉 #KulitKering #KulitSensitif #fakesituation⚠️,2026-09-02T11:16:46.560826
aliphildan,7652954792536411400,https://www.tiktok.com/@aliphildan/video/7652954792536411400,39.4K,335,1830,3102,Baca tulisannya aja minimal🥰🙏🏻 #SaLiMan #JagaIrama,2026-09-02T11:17:48.936371
aliphildan,7652620700343078162,https://www.tiktok.com/@aliphildan/video/7652620700343078162,432.5K,6703,31K,7624,"Partnya dr. Ayman canduu bgt 🕺🏻🤟🏻🤣  @Ayman Alatas @Ikhsanqthii, MD",2026-09-02T11:18:37.728784
aliphildan,7652361220913302791,https://www.tiktok.com/@aliphildan/video/7652361220913302791,37K,432,548,447,Ntah apaa….,2026-09-02T11:19:26.069641
